City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
159,Buala,SB,82.81,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
160,Yulara,AU,94.84,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
161,Kununurra,AU,93.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
162,Namibe,AO,70.92,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
163,Taoudenni,ML,68.31,overcast clouds,22.6783,-3.9836,
164,Cabo San Lucas,MX,70.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
165,Kalmunai,LK,81.86,scattered clouds,7.4167,81.8167,VS Villa
166,Lazaro Cardenas,MX,74.34,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
167,Port Hedland,AU,93.25,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
168,Along,IN,65.28,clear sky,28.1667,94.7667,Hotel West
169,Rosarito,MX,61.54,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
170,Boa Vista,BR,78.78,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
171,Bridgetown,BB,74.93,few clouds,13.1,-59.6167,Hilton Barbados Resort
172,Harper,LR,78.03,broken clouds,4.375,-7.7169,Screensaver
173,La Asuncion,VE,74.93,few clouds,11.0333,-63.8628,Colinas de Matasiete
174,Kavaratti,IN,80.69,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
175,Ambulu,ID,85.51,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
176,San Juan,AR,78.22,scattered clouds,-31.5375,-68.5364,Hotel Provincial
177,Lahan,NP,65.3,clear sky,26.7296,86.4951,Bhattarai Residence
178,Sinjai,ID,85.21,overcast clouds,-5.1241,120.253,Wisma Sandika
179,Ormara,PK,68.67,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
180,Port Shepstone,ZA,71.83,few clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
181,Balabac,PH,83.1,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
182,Isangel,VU,78.91,shower rain,-19.55,169.2667,Tanna Lodge
183,Mogadishu,SO,76.73,overcast clouds,2.0371,45.3438,Hotel Juba
184,Weligama,LK,84.15,few clouds,5.9667,80.4167,Weligama Bay Resort
185,Ulladulla,AU,78.1,heavy intensity rain,-35.35,150.4667,Sandpiper Motel
186,Santa Cruz,BO,76.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
187,Tura,IN,68.11,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
188,Ahraura,IN,62.44,clear sky,25.0167,83.0167,Ramjanam Bindra Home
189,Bairiki,KI,84.2,light rain,1.3292,172.9752,Tarawa Boutique Hotel
190,Maningrida,AU,85.77,light rain,-12.0667,134.2667,Dhukurrdji Lodge
191,Basco,PH,75.07,light rain,20.4487,121.9702,Nathaniel's Lodge
192,Cayenne,GF,74.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
193,Pedernales,DO,74.59,clear sky,18.0384,-71.744,Hotel Costa Marina
194,Bulawayo,ZW,64.45,overcast clouds,-20.15,28.5833,4 On Housman Backpackers
195,Bluefields,NI,73.71,clear sky,12.0137,-83.7635,Nicaraguan Typical House Downtown
196,Bonthe,SL,76.51,few clouds,7.5264,-12.505,Bonthe Holiday Village
197,Pimentel,PE,70.12,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
198,Abu Dhabi,AE,68.11,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
199,Acari,PE,70.39,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
200,Tezu,IN,68.18,clear sky,27.9167,96.1667,Circuit House
201,Kanker,IN,70.77,clear sky,20.2719,81.4931,STARiHOTEL Kanker
202,Saint-Pierre,RE,83.84,few clouds,-21.3393,55.4781,Lindsey Hôtel
203,Ozamiz,PH,86.34,scattered clouds,8.1458,123.8444,The MU Manor Hotel
204,Maldonado,UY,65.59,clear sky,-34.6667,-54.9167,La Cimarrona
205,Biloela,AU,95.18,few clouds,-24.4167,150.5,Biloela Silo Motor Inn
206,Kupang,ID,84.78,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
207,Beira,MZ,78.89,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
208,Mabama,TZ,66.33,overcast clouds,-5.1333,32.5333,
209,Sharjah,AE,72.25,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
210,Alice Springs,AU,80.15,light rain,-23.7,133.8833,Desert Palms Alice Springs
211,Kiunga,PG,86.99,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
212,Puerto Colombia,CO,77.09,broken clouds,10.9878,-74.9547,Hotel El Emigrante
213,Cap Malheureux,MU,85.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
214,Codrington,AU,66.9,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
215,Pijijiapan,MX,76.89,clear sky,15.7011,-93.23,Hotel Rosita
216,Moron,AR,70.99,clear sky,-34.6534,-58.6198,Hotel Morón
217,Karratha,AU,91.89,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
218,Tabou,CI,78.06,broken clouds,4.423,-7.3528,hotêl doufoulougou
219,Port Lincoln,AU,73.29,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
220,Kieta,PG,83.82,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
221,Wanaka,NZ,76.1,broken clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
222,Sao Joao Da Barra,BR,75.31,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
223,Jieshi,CN,70.95,broken clouds,22.8134,115.8257,Yuehai Hotel
224,Yanam,IN,81.0,broken clouds,16.7333,82.2167,The Regency Hotel
225,Kapit,MY,91.38,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
226,Kalabo,ZM,64.35,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
227,Nouakchott,MR,67.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN
228,Mogok,MM,66.24,clear sky,22.9167,96.5,MOGOK HILL HOTEL
229,Goregaon,IN,83.39,broken clouds,18.1667,73.3,Vichare Farms and Agritourism Center
