City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
230,Tuatapere,NZ,68.83,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
231,Bambanglipuro,ID,85.3,broken clouds,-7.95,110.2833,Puri Brata
232,Quatre Cocos,MU,85.08,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
233,Cumbum,IN,76.12,broken clouds,9.7333,77.3,Hotel Sagar Rooms
234,Lapao,BR,67.77,overcast clouds,-11.3833,-41.8319,Pousada Toque De Classe
235,Zemio,CF,63.54,few clouds,5.0314,25.1361,OCHA Office
236,Jeremie,HT,74.98,few clouds,18.65,-74.1167,Auberge’Inn
237,Samarai,PG,85.46,moderate rain,-10.6167,150.6667,Nuli Sapi
238,Galle,LK,82.98,scattered clouds,6.0367,80.217,Amangalla
239,Phan Thiet,VN,87.46,few clouds,10.9333,108.1,Hotel Saigon-PT
240,Batemans Bay,AU,80.2,moderate rain,-35.7167,150.1833,Batemans Bay Marina Resort
241,Mufulira,ZM,63.68,overcast clouds,-12.5498,28.2407,Kamiria lodge
242,Mahenge,TZ,62.53,light rain,-8.6833,36.7167,Mkondosii Guest House
243,Kidal,ML,60.48,clear sky,18.4411,1.4078,
244,Temba,ZA,67.39,overcast clouds,-25.3803,28.2631,Gene's Guesthouse
245,Ambon,ID,91.54,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
246,Tiquisio,CO,73.54,scattered clouds,8.5597,-74.2669,Luis Florez
247,Mount Isa,AU,80.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
248,Poum,NC,82.4,overcast clouds,-20.2333,164.0167,Gîte kajeon
249,Chhabra,IN,64.69,clear sky,24.6667,76.8333,"मालव समाज धर्मशाला, छबड़ा ।"
250,Ambalema,CO,79.03,scattered clouds,4.7841,-74.7627,Hotel San Gabriel
251,Menongue,AO,62.11,light rain,-14.6585,17.691,Ritz Lauca
252,Kahului,US,75.22,clear sky,20.8947,-156.47,Maui Seaside Hotel
253,Kolokani,ML,68.9,few clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
254,Malakal,SS,68.25,clear sky,9.5334,31.6605,Nile Palace Hotel
255,Phonhong,LA,87.62,few clouds,18.5007,102.4166,Manyvong Guest House
256,Beloha,MG,82.36,clear sky,-25.1667,45.05,
257,Namatanai,PG,84.18,light rain,-3.6667,152.4333,Seagulls Inn Namatani
258,Upata,VE,65.03,few clouds,8.0086,-62.3989,Posada Villa Nela
259,Belmonte,BR,75.7,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
260,Natal,BR,71.82,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
261,Mahina,PF,80.37,broken clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
262,Sumenep,ID,83.32,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
263,Sao Gabriel Da Cachoeira,BR,72.75,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
264,Batticaloa,LK,81.37,scattered clouds,7.7102,81.6924,Grand Star Guest House
265,Riberalta,BO,73.42,overcast clouds,-10.9833,-66.1,Hotel Colonial
266,Lodja,CD,69.42,light rain,-3.4833,23.4333,
267,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
268,Chiredzi,ZW,73.83,few clouds,-21.05,31.6667,Clevers Hotel Chiredzi
269,Talavera,PH,90.63,few clouds,15.6167,120.9333,R&G's Resort
270,Iraquara,BR,65.68,overcast clouds,-12.2486,-41.6194,Pousada E Restaurante MKE
271,Tutoia,BR,75.99,overcast clouds,-2.7619,-42.2744,Pousada Guará's
272,Marawi,PH,74.64,scattered clouds,7.9986,124.2928,Derogongan Residence
273,Kunda,IN,62.11,clear sky,25.7167,81.5167,Girja Sankar And Arvind gupta
274,Muisne,EC,74.23,light rain,0.6,-80.0333,Quinta Samay
275,Yabassi,CM,74.84,overcast clouds,4.457,9.9682,MOTEL FOMI
276,Ahuimanu,US,74.91,clear sky,21.4447,-157.8378,Paradise Bay Resort
277,Clocolan,ZA,62.69,clear sky,-28.9137,27.5656,Orsmond Gastehuis
278,Finschhafen,PG,81.55,overcast clouds,-6.6024,147.8681,Cossam Guest House
279,Papetoai,PF,80.19,clear sky,-17.4961,-149.8729,Fare Vaihere
280,Likasi,CD,62.31,overcast clouds,-10.9814,26.7333,TABERNACLE DE LIKASI
281,Ligayan,PH,82.56,broken clouds,4.6533,119.4706,
282,Axim,GH,76.62,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
283,Kawalu,ID,85.08,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
284,Manaquiri,BR,77.45,overcast clouds,-3.3167,-60.35,
285,Puerto Ayacucho,VE,74.05,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
286,Morogoro,TZ,70.41,heavy intensity rain,-6.8167,37.6667,Nashera Hotel
287,Loandjili,CG,75.31,few clouds,-4.7561,11.8578,Résidence ARCHANGE
288,Sola,VU,80.91,light rain,-13.8833,167.55,Leumerus Bungalows
289,Yomou,GN,67.89,broken clouds,7.5603,-9.2653,
290,Escuintla,GT,75.88,clear sky,14.305,-90.785,HOTEL SARITA
291,Jacareacanga,BR,72.14,heavy intensity rain,-6.2222,-57.7528,Casa do Ian😎
292,Anori,BR,73.18,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
293,Mackay,AU,86.68,broken clouds,-21.15,149.2,International Lodge Motel
294,Ternate,ID,83.77,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
295,Henties Bay,,61.86,overcast clouds,-22.116,14.2845,Fishermans Guest House
296,Bowen,AU,82.62,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
297,Dalbandin,PK,61.7,clear sky,28.8947,64.4101,Gidaan Guest House
298,Touba,CI,72.86,scattered clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
299,Kudahuvadhoo,MV,80.69,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
300,Punta Alta,AR,72.25,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
301,Hambantota,LK,86.34,few clouds,6.1241,81.1185,Bungalow 63
302,Kainantu,PG,65.61,overcast clouds,-6.2887,145.8655,Sylvester buku
303,Labuan,MY,88.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
304,Salinopolis,BR,76.5,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
305,Talcahuano,CL,60.48,overcast clouds,-36.7167,-73.1167,departamento comodo
306,Saint-Joseph,RE,82.76,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
307,Soyo,AO,77.05,broken clouds,-6.1349,12.3689,Hotel Mpampa
308,Matias Barbosa,BR,65.25,heavy intensity rain,-21.8692,-43.3194,Pousada Cipriani
309,Lethem,GY,78.08,broken clouds,3.3803,-59.7968,Savannah Inn
310,Santa Cruz Cabralia,BR,75.43,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
311,Omboue,GA,76.39,overcast clouds,-1.5746,9.2618,Hotel Olako
312,Yuli,NG,64.81,overcast clouds,9.6989,10.2744,
313,Wajir,KE,75.61,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
314,Windhoek,,70.29,broken clouds,-22.5594,17.0832,Hotel Uhland
315,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
