City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Sawtell,AU,-30.3833,153.1,80.62,79,40,14.97,scattered clouds
221,Mount Gambier,AU,-37.8333,140.7667,72.27,54,39,13.11,scattered clouds
222,Bratsk,RU,56.1325,101.6142,0.34,93,94,3.53,overcast clouds
223,Hailar,CN,49.2,119.7,-0.2,82,15,6.38,few clouds
224,Manokwari,ID,-0.8667,134.0833,82.69,71,62,6.6,broken clouds
225,Vardo,NO,70.3705,31.1107,32.14,59,100,21.25,overcast clouds
226,Puerto Escondido,MX,15.85,-97.0667,76.14,84,15,5.55,few clouds
227,Paamiut,GL,61.994,-49.6678,21.67,80,100,27.65,light snow
228,Kulim,MY,5.365,100.5618,90.93,63,44,4.72,scattered clouds
229,Leningradskiy,RU,69.3833,178.4167,-10.37,90,55,3.96,broken clouds
230,Torbay,CA,47.6666,-52.7314,30.58,88,100,14.97,overcast clouds
231,Almaznyy,RU,48.0448,40.045,30.34,96,100,13.49,overcast clouds
232,Calvinia,ZA,-31.4707,19.776,66.07,57,0,8.86,clear sky
233,Heihe,CN,50.2441,127.4902,5.58,75,43,12.48,scattered clouds
234,Port Elizabeth,ZA,-33.918,25.5701,67.1,82,40,8.05,scattered clouds
235,Hasaki,JP,35.7333,140.8333,48.6,60,100,6.71,overcast clouds
236,Asau,RO,46.4333,26.4,31.12,92,62,4.79,broken clouds
237,Sinnamary,GF,5.3833,-52.95,75.04,86,30,6.13,scattered clouds
238,Kenai,US,60.5544,-151.2583,28.45,74,40,17.27,scattered clouds
239,Labuhan,ID,-6.8844,112.2051,84.99,70,98,8.84,overcast clouds
240,Trincomalee,LK,8.5711,81.2335,81.48,76,15,11.43,few clouds
241,Mao,ES,39.8885,4.2658,48.76,76,20,13.8,few clouds
242,Price,US,39.5994,-110.8107,24.12,73,0,8.05,clear sky
243,Rawson,AR,-43.3002,-65.1023,66.97,82,73,11.72,broken clouds
244,Carauari,BR,-4.8828,-66.8958,72.9,99,100,2.44,light rain
245,Nadvoitsy,RU,63.8667,34.3167,3.85,98,93,5.08,overcast clouds
246,Hami,CN,42.8,93.45,26.11,41,2,4.41,clear sky
247,Sao Filipe,CV,14.8961,-24.4956,70.41,70,88,10.65,overcast clouds
248,Nerchinsk,RU,51.9833,116.5833,-4.18,88,23,1.19,few clouds
249,Makakilo City,US,21.3469,-158.0858,73.72,73,0,5.75,clear sky
250,Ancud,CL,-41.8697,-73.8203,49.42,83,0,2.44,clear sky
251,Ponta Do Sol,PT,32.6667,-17.1,60.01,61,65,5.39,broken clouds
252,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,86,29,9.24,scattered clouds
253,Santa Rosa,PH,14.3122,121.1114,92.1,67,15,7.0,few clouds
