City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,Cherskiy,68.75,161.3,-11.42,93,100,1.86,RU,2022-01-28 22:14:50
92,Srednekolymsk,67.45,153.6833,-12.15,94,100,2.28,RU,2022-01-28 22:12:16
93,Souillac,-20.5167,57.5167,77.36,84,35,8.34,MU,2022-01-28 22:11:49
94,Port Alfred,-33.5906,26.891,66.87,78,14,9.51,ZA,2022-01-28 22:14:51
95,Traralgon,-38.1833,146.5333,67.41,99,100,2.08,AU,2022-01-28 22:14:51
96,Provideniya,64.3833,-173.3,-1.21,98,18,3.27,RU,2022-01-28 22:14:52
97,Lagoa,39.05,-27.9833,57.78,57,87,12.59,PT,2022-01-28 22:14:52
98,Suntar,62.1444,117.6319,-12.06,96,31,6.02,RU,2022-01-28 22:14:52
99,Ribeira Brava,32.65,-17.0667,63.23,61,67,8.32,PT,2022-01-28 22:14:53
100,Rio Grande,-32.035,-52.0986,73.94,60,14,11.79,BR,2022-01-28 22:10:29
101,Nikolskoye,59.7035,30.7861,24.69,96,100,6.31,RU,2022-01-28 22:10:22
102,Amahai,-3.3333,128.9167,78.96,81,100,5.5,ID,2022-01-28 22:14:53
103,Tuatapere,-46.1333,167.6833,64.47,51,92,4.63,NZ,2022-01-28 22:14:54
104,Kailua,21.4022,-157.7394,82.08,67,5,3.0,US,2022-01-28 22:14:54
105,Ofunato,39.0717,141.7167,29.46,70,9,13.18,JP,2022-01-28 22:14:55
106,Berlevag,70.8578,29.0864,31.95,59,75,14.97,NO,2022-01-28 22:14:55
107,Muli,2.9167,73.5667,79.99,67,60,11.3,MV,2022-01-28 22:14:55
108,Celestun,20.8667,-90.4,75.94,71,78,16.69,MX,2022-01-28 22:14:56
109,Yeppoon,-23.1333,150.7333,76.78,79,80,13.8,AU,2022-01-28 22:14:56
110,Coquimbo,-29.9533,-71.3436,67.73,68,0,10.36,CL,2022-01-28 22:14:56
111,Chokurdakh,70.6333,147.9167,-31.41,96,95,2.59,RU,2022-01-28 22:14:57
112,Avera,33.194,-82.5271,51.75,52,100,9.93,US,2022-01-28 22:14:57
113,Muyezerskiy,63.9333,31.65,10.33,96,100,5.06,RU,2022-01-28 22:14:57
114,Mlowo,-9.0,32.9833,60.93,94,100,2.8,TZ,2022-01-28 22:14:58
115,Pevek,69.7008,170.3133,-17.16,100,36,2.59,RU,2022-01-28 22:14:58
116,Yamada,39.4667,141.95,28.83,58,1,4.72,JP,2022-01-28 22:14:16
117,Orsk,51.2049,58.5668,7.7,92,0,6.71,RU,2022-01-28 22:14:59
118,Sola,-13.8833,167.55,79.57,84,100,20.42,VU,2022-01-28 22:14:59
